q_dirs,traj,tr,delay,rep,paired_id,rmse_t3,rmse_honest,rmse_gap_t3_minus_honest
8,circle,0.25,34,0,q8_circle_tr0.25_d34_rep0,0.9533813414544301,1.2150961501513693,-0.2617148086969392
8,circle,0.25,34,1,q8_circle_tr0.25_d34_rep1,1.0038331456733531,1.2957793089478065,-0.29194616327445333
8,circle,0.25,34,2,q8_circle_tr0.25_d34_rep2,1.0124711285265293,1.190443192079349,-0.1779720635528197
8,circle,0.25,34,3,q8_circle_tr0.25_d34_rep3,1.0403617002760825,1.3300929355998463,-0.28973123532376377
8,circle,0.25,34,4,q8_circle_tr0.25_d34_rep4,0.7997124433380138,1.267500117752652,-0.4677876744146381
8,circle,0.25,34,5,q8_circle_tr0.25_d34_rep5,0.8994360934168144,1.316765239244243,-0.41732914582742864
8,circle,0.25,34,6,q8_circle_tr0.25_d34_rep6,0.9512032550747637,1.2679182227163424,-0.3167149676415787
8,circle,0.25,34,7,q8_circle_tr0.25_d34_rep7,1.0320424354667317,1.2374601914957324,-0.2054177560290007
8,circle,0.35,12,0,q8_circle_tr0.35_d12_rep0,0.3619821962207607,0.3530543033825308,0.008927892838229923
8,circle,0.35,12,1,q8_circle_tr0.35_d12_rep1,0.33734197665387095,0.35575999897888944,-0.01841802232501849
8,circle,0.35,12,2,q8_circle_tr0.35_d12_rep2,0.3332578823778296,0.3593380132331865,-0.026080130855356876
8,circle,0.35,12,3,q8_circle_tr0.35_d12_rep3,0.3350043224683268,0.35049687409185176,-0.015492551623524975
8,circle,0.35,12,4,q8_circle_tr0.35_d12_rep4,0.3353393605952496,0.35637615212378515,-0.021036791528535548
8,circle,0.35,12,5,q8_circle_tr0.35_d12_rep5,0.30828331941998016,0.3535307673207276,-0.04524744790074742
8,circle,0.35,12,6,q8_circle_tr0.35_d12_rep6,0.36716261187322324,0.3560964947038669,0.011066117169356349
8,circle,0.35,12,7,q8_circle_tr0.35_d12_rep7,0.33835261055348265,0.3533709196140723,-0.015018309060589652
8,circle,0.35,34,0,q8_circle_tr0.35_d34_rep0,0.6359029427843461,1.2084322369688614,-0.5725292941845153
8,circle,0.35,34,1,q8_circle_tr0.35_d34_rep1,0.6095861721641624,1.2054710151092383,-0.5958848429450758
8,circle,0.35,34,2,q8_circle_tr0.35_d34_rep2,0.5984495189088266,1.1736053649252571,-0.5751558460164305
8,circle,0.35,34,3,q8_circle_tr0.35_d34_rep3,0.6050297635746502,1.2462922423450684,-0.6412624787704182
8,circle,0.35,34,4,q8_circle_tr0.35_d34_rep4,0.5736155114125189,1.2010870716920516,-0.6274715602795328
8,circle,0.35,34,5,q8_circle_tr0.35_d34_rep5,0.5794685704443362,1.2983779622460647,-0.7189093918017285
8,circle,0.35,34,6,q8_circle_tr0.35_d34_rep6,0.7092993053944288,1.2012458996182,-0.4919465942237713
8,circle,0.35,34,7,q8_circle_tr0.35_d34_rep7,0.5638644263146342,1.1554027996574594,-0.5915383733428252
8,square,0.25,12,0,q8_square_tr0.25_d12_rep0,0.42637013349309894,0.6833445371903644,-0.25697440369726543
8,square,0.25,12,1,q8_square_tr0.25_d12_rep1,0.41906703150738983,0.6889418577092654,-0.2698748262018756
8,square,0.25,12,2,q8_square_tr0.25_d12_rep2,0.33062649733312105,0.6905101392494007,-0.3598836419162797
8,square,0.25,12,3,q8_square_tr0.25_d12_rep3,0.408240420632836,0.7031469336328793,-0.2949065130000433
8,square,0.25,12,4,q8_square_tr0.25_d12_rep4,0.39161553714452374,0.7086152514793348,-0.31699971433481106
8,square,0.25,12,5,q8_square_tr0.25_d12_rep5,0.3580096624531641,0.7113483349494006,-0.3533386724962365
8,square,0.25,12,6,q8_square_tr0.25_d12_rep6,0.3392766304121438,0.7102375965983494,-0.3709609661862056
8,square,0.25,12,7,q8_square_tr0.25_d12_rep7,0.3601212474536148,0.686415467915906,-0.32629422046229123
8,square,0.25,34,0,q8_square_tr0.25_d34_rep0,1.2565180847432191,1.4777124192944602,-0.22119433455124105
8,square,0.25,34,1,q8_square_tr0.25_d34_rep1,1.2278771608082828,1.450093582810672,-0.22221642200238922
8,square,0.25,34,2,q8_square_tr0.25_d34_rep2,1.325592794997493,1.4506992629182973,-0.12510646792080427
8,square,0.25,34,3,q8_square_tr0.25_d34_rep3,1.239805380212088,1.4743590147175225,-0.23455363450543443
8,square,0.25,34,4,q8_square_tr0.25_d34_rep4,1.2302290762457815,1.4352512368627501,-0.20502216061696865
8,square,0.25,34,5,q8_square_tr0.25_d34_rep5,1.2883558219735678,1.447726978885446,-0.1593711569118783
8,square,0.25,34,6,q8_square_tr0.25_d34_rep6,1.2867192657125917,1.4442322798120995,-0.1575130140995078
8,square,0.25,34,7,q8_square_tr0.25_d34_rep7,1.2237615297927757,1.435279317362554,-0.21151778756977824
8,square,0.35,12,0,q8_square_tr0.35_d12_rep0,0.37553081579617914,0.7095808279221945,-0.3340500121260153
8,square,0.35,12,1,q8_square_tr0.35_d12_rep1,0.4869222972237075,0.7008872768157378,-0.2139649795920303
8,square,0.35,12,2,q8_square_tr0.35_d12_rep2,0.4537585630692615,0.6891422555549626,-0.23538369248570107
8,square,0.35,12,3,q8_square_tr0.35_d12_rep3,0.43614498804217555,0.7187433475695271,-0.2825983595273515
8,square,0.35,12,4,q8_square_tr0.35_d12_rep4,0.4423309870932585,0.694830781408262,-0.2524997943150035
8,square,0.35,12,5,q8_square_tr0.35_d12_rep5,0.38891558424784967,0.6714726186995478,-0.2825570344516981
8,square,0.35,12,6,q8_square_tr0.35_d12_rep6,0.36143934049666404,0.6569664421585759,-0.2955271016619119
8,square,0.35,12,7,q8_square_tr0.35_d12_rep7,0.39103983432621725,0.7065181423843842,-0.3154783080581669
8,square,0.35,34,0,q8_square_tr0.35_d34_rep0,1.1032672983438223,1.473763736114982,-0.3704964377711597
8,square,0.35,34,1,q8_square_tr0.35_d34_rep1,1.0460155085095688,1.4647781442229348,-0.418762635713366
8,square,0.35,34,2,q8_square_tr0.35_d34_rep2,1.0152058542717113,1.4643427120031953,-0.44913685773148404
8,square,0.35,34,3,q8_square_tr0.35_d34_rep3,0.9768598462346786,1.475485846103393,-0.4986259998687145
8,square,0.35,34,4,q8_square_tr0.35_d34_rep4,1.0238745537317946,1.432568051295048,-0.40869349756325346
8,square,0.35,34,5,q8_square_tr0.35_d34_rep5,1.036121350243124,1.4281730950609246,-0.3920517448178007
8,square,0.35,34,6,q8_square_tr0.35_d34_rep6,1.0252317291482704,1.4344754547902956,-0.40924372564202516
8,square,0.35,34,7,q8_square_tr0.35_d34_rep7,1.1380991856038973,1.4941552214613287,-0.3560560358574314
8,zigzag,0.25,12,0,q8_zigzag_tr0.25_d12_rep0,1.174440787979169,1.2591644236184631,-0.08472363563929419
