q_dirs,traj,tr,delay,rep,paired_id,vote_bin_switch_rate,vote_switch_chord2_mean,agg_cell_switch_rate,agg_cell_jump_chord2_mean,agg_boundary_proximity_mean,path_event_rate,endpoint_wrap_rate,branch_event_rate,vote_path_coincident_rate,positive_err2_increment_t3,positive_err2_increment_honest,counterfactual_event_cost_mean,positive_counterfactual_event_cost,rmse_t3,rmse_honest,rmse_gap_t3_minus_honest
4,lemniscate,0.35,12,5,q4_lemniscate_tr0.35_d12_rep5,0.856,3.3068,0.93,3.66,0.18031181941557806,0.48,0.0,0.48,0.48,0.39234217118970577,0.3883031360796508,0.007048634404565647,0.6331466885541635,1.3161654693320677,0.8205639963590914,0.4956014729729763
4,lemniscate,0.35,12,6,q4_lemniscate_tr0.35_d12_rep6,0.2514,0.504,0.25,0.5,0.15394285238057775,0.24,0.0,0.24,0.22,0.33622640143790555,0.38837839085810755,-0.005926875564946032,0.3955764942432963,0.6357727409446616,0.8209387537429983,-0.18516601279833667
4,lemniscate,0.35,12,7,q4_lemniscate_tr0.35_d12_rep7,0.628,2.2668,0.68,2.5,0.17990223753866863,0.4,0.0,0.4,0.38,0.4784521650951737,0.3858357586066164,0.012695014054014327,0.46292042875261835,1.1578854890351387,0.8219218545559263,0.3359636344792124
4,lemniscate,0.35,34,0,q4_lemniscate_tr0.35_d34_rep0,0.23739999999999997,0.5632,0.24,0.58,0.131688479115481,0.18,0.0,0.18,0.11,0.8325784795434981,0.8312361779164738,-0.0035613974545445908,1.12182640003388,1.4542965900360818,1.654872292627559,-0.20057570259147717
4,lemniscate,0.35,34,1,q4_lemniscate_tr0.35_d34_rep1,0.2468,0.6072,0.25,0.64,0.14597909512341026,0.16,0.0,0.16,0.1,0.8396055076683759,0.8905443615019507,-0.056941245895369384,0.8768276954455019,1.468768978929854,1.678453213513232,-0.20968423458337804
4,lemniscate,0.35,34,2,q4_lemniscate_tr0.35_d34_rep2,0.2224,0.48200000000000004,0.23,0.5,0.12025764450336758,0.19,0.0,0.19,0.11,0.8834034083649713,0.8232328031267836,-0.004135029989063952,1.345158056154562,1.4397996021685395,1.6583679787932002,-0.21856837662466067
4,lemniscate,0.35,34,3,q4_lemniscate_tr0.35_d34_rep3,0.2622,0.62,0.27,0.66,0.12998745204686457,0.12,0.0,0.12,0.09,0.7191431636446776,0.8240999282664401,-0.005019947392704091,1.0772808993277572,1.3104357473034765,1.6961281644098118,-0.3856924171063354
4,lemniscate,0.35,34,4,q4_lemniscate_tr0.35_d34_rep4,0.2642,0.6759999999999999,0.27,0.72,0.10990453590969407,0.11,0.0,0.11,0.07,0.7571832241918207,0.8659425712828818,-0.004253362240405758,1.0611840325796569,1.3554125460775202,1.707825186996591,-0.3524126409190709
4,lemniscate,0.35,34,5,q4_lemniscate_tr0.35_d34_rep5,0.29359999999999997,0.7687999999999999,0.29,0.78,0.14862478846208652,0.12,0.0,0.12,0.08,0.7582502822204742,0.9218230608767425,-0.01923907918417744,0.9764671315556581,1.3868716235766234,1.7726168692818274,-0.38574524570520397
4,lemniscate,0.35,34,6,q4_lemniscate_tr0.35_d34_rep6,0.2288,0.522,0.23,0.54,0.10730312351360265,0.11,0.0,0.11,0.04,0.8463739860816092,0.8827136882796918,0.018412328621560774,1.2661355095779387,1.431024512082357,1.7234750133237169,-0.29245050124135985
4,lemniscate,0.35,34,7,q4_lemniscate_tr0.35_d34_rep7,0.24480000000000002,0.5252,0.25,0.54,0.13326346280562493,0.2,0.0,0.2,0.15,0.7231074796148341,0.9232711731033882,-0.025423566559142748,1.2065338157429053,1.2480693758681802,1.7782837104785925,-0.5302143346104122
4,square,0.25,12,0,q4_square_tr0.25_d12_rep0,0.07,0.14,0.07,0.14,0.018705531083950754,0.07,0.0,0.0,0.07,0.01171265781013608,0.04830453599068111,-0.000608353833295609,0.048512220160285724,0.366671905132141,0.8862645109193642,-0.5195926057872232
4,square,0.25,12,1,q4_square_tr0.25_d12_rep1,0.0704,0.1408,0.07,0.14,0.018299690701051335,0.07,0.0,0.0,0.07,0.010677572458288237,0.016925603403863034,-0.002709538695838226,0.011377225408697185,0.3518341144114632,0.6188888201754923,-0.2670547057640291
4,square,0.25,12,2,q4_square_tr0.25_d12_rep2,0.07,0.14,0.07,0.14,0.018494846912848462,0.07,0.0,0.0,0.07,0.010603044502160574,0.020669249485389587,-0.0036393097032068394,0.01613861530039983,0.3640849032920376,0.6503856577550722,-0.2863007544630346
