traj,tr,delay,mc,boot,gap_h_minus_t3,gap_h_minus_t3_ci_lo,gap_h_minus_t3_ci_hi,energy_relief,energy_relief_ci_lo,energy_relief_ci_hi,abs_relief,abs_relief_ci_lo,abs_relief_ci_hi,osc_change_pct,osc_change_pct_ci_lo,osc_change_pct_ci_hi,edot_change_pct,edot_change_pct_ci_lo,edot_change_pct_ci_hi,tail_delta,tail_delta_ci_lo,tail_delta_ci_hi,raw_cos_vel,raw_cos_vel_ci_lo,raw_cos_vel_ci_hi,mechanism_class_mean
square,0.3,18,50,1000,0.2518943522842651,0.24487072864996667,0.259212074408566,0.8495111179786045,0.8384144957594314,0.8603118720640768,0.6359259264904888,0.6168785694328643,0.656401177872568,-26.120556782294077,-26.998503400901743,-25.221856126275892,-14.901958004104815,-15.728630167988612,-14.140326034310622,-0.04747742857142857,-0.048254100529100535,-0.04656600529100529,-0.9835950726355739,-0.9841426957813938,-0.9830566956694429,benefit
square,0.3,26,50,1000,0.22104637608258595,0.21253054832857018,0.2292978521190273,0.8026168868101049,0.7897619594971079,0.8145857733758389,0.696506306592509,0.6814078279816375,0.711213823907314,-20.76501438267733,-21.441010602708946,-20.02306740940815,-10.98999740585304,-11.762641607652526,-10.236794099695576,-0.0027111904761904777,-0.0059417989417989425,0.00012698412698412126,-0.9758941163062814,-0.9765269647468733,-0.9752684151208746,benefit
square,0.3,34,50,1000,0.18558180958154338,0.17689276219625316,0.19465820598540418,0.6489964802549316,0.6363731080329972,0.6615824887463004,0.5438989913150658,0.5297272619709738,0.5577829964431437,-10.057004457407183,-10.600544640373492,-9.52289097107786,6.987697185450397,6.52618876181502,7.444790736117674,-0.039281031746031744,-0.04054537037037038,-0.03799457671957672,-0.9684948979753167,-0.9691075353038102,-0.9679156757855357,benefit
square,0.3,44,50,1000,0.21778321729045932,0.20784599655442904,0.2276348500132211,0.6650832339526083,0.6494680725879043,0.6798983966766529,0.47217987576997666,0.4549952027888713,0.48978304790534116,-11.895929351393788,-12.393567111176294,-11.393409871183854,-3.1398619082063943,-3.6742471658898177,-2.5679476739209544,-0.023896312169312168,-0.026720634920634923,-0.02083055555555556,-0.9736688435209848,-0.9743493143895466,-0.9729802522244471,benefit
square,0.3,56,50,1000,0.44613397232700325,0.4348785436775955,0.4577698071074005,0.6138700234313788,0.5954642052782744,0.6321294926968368,0.4952172178478671,0.4791075319833066,0.5128024808265551,-14.787075100562415,-15.196035370343585,-14.368491534999984,-16.938720124867874,-17.322749886945818,-16.532457014364347,-0.03590895238095238,-0.03744444444444444,-0.03416917989417989,-0.9753643865921074,-0.9759581082731164,-0.9747726259416046,benefit
square,0.3,68,50,1000,0.43131787186848874,0.42016418352324153,0.44295344789697116,0.5603535083978473,0.5417299279548252,0.5805722159443194,0.4906962297590038,0.47071511611861266,0.511767256975902,-13.566598231954659,-13.90579130434576,-13.238672856445582,-5.636424246042066,-6.19941707384388,-5.117532691260095,-0.038043015873015874,-0.03855555555555556,-0.037491931216931215,-0.9780660833461104,-0.9787793405560039,-0.9773446474126094,benefit
square,0.4,0,50,1000,-0.02042563460850465,-0.026996476276910535,-0.014271865394101918,0.5112800220274306,0.502814344615912,0.5197856915959629,0.3721492483006913,0.36459969844253837,0.3798494379542358,73.60537526541312,67.95975667068736,79.35668310502962,220.9039740922917,215.97095426037788,225.8084307106729,0.0477001216931217,0.037290343915343915,0.05830873015873016,-0.9953731691928625,-0.9954911146844283,-0.9952520636293013,harm_cost_dominance
square,0.4,8,50,1000,0.19825049742487016,0.18587205225722667,0.209712812445575,0.4708378169738652,0.4608820286424202,0.4801637792930639,0.3168668097764921,0.3064542015193202,0.32728757211507903,-44.20355261448957,-46.82156844148732,-41.16053499219351,62.00885246436714,56.48725414856865,68.01363920861077,-0.049368476190476185,-0.04974074074074074,-0.048873015873015874,-0.9949593493892779,-0.9950817796804742,-0.9948417223692038,benefit
square,0.4,18,50,1000,0.3787413716497854,0.3703341406096054,0.38650048327228975,0.6006156941119359,0.5811392549261301,0.6199990376299862,0.4112154696991486,0.3935483331236674,0.4292401140220109,-42.64804044710904,-43.45083698792246,-41.83721346788353,-12.200566421526968,-13.991805379879864,-10.368610988133598,-0.04938946560846561,-0.04973015873015873,-0.04898941798941799,-0.992592631368188,-0.9928748596204647,-0.992305437233773,benefit
square,0.4,26,50,1000,0.45658570361016076,0.4464355664427044,0.46602757267981165,0.36848368179759494,0.3500815311818947,0.3838570039744247,0.20188787018911286,0.1839989311404623,0.2182180302586427,-39.02685079253082,-39.77117461779985,-38.2507451254874,-14.907610126411768,-15.834316480865557,-13.96786860812459,-0.03818842328042328,-0.039936904761904764,-0.036348941798941804,-0.9897614839239904,-0.9901414448863223,-0.9893265698687936,benefit
