traj,tr,delay,mc,rmse_honest,rmse_t3,gap_h_minus_t3,osc_honest,osc_t3,osc_change_pct,edot_honest,edot_t3,edot_change_pct,tail_q95_honest,tail_rate_honest,tail_rate_t3,tail_delta,tail_mse_share_honest,tail_mse_share_t3,energy_relief,abs_relief,vel_oppose,delta_perp_abs,delta_norm,raw_cos_vel,mechanism_class
circle,0.4,34,50,1.226248702059893,0.5468818973694001,0.6793668046904928,1.088026351479074,0.355007926014848,-67.37138530395698,0.036552072396274185,0.044365033125413164,21.374877583470806,2.224791333702523,0.05,0.0,-0.05,3.7419997591929124,0.0,0.27046582940318975,0.12734570130464878,-0.6825010975280387,0.5977259542461705,0.6810221063027493,-0.988272672316601,benefit
circle,0.4,44,50,1.268754410072316,1.012711761569068,0.2560426485032481,0.9680931196444369,0.8427093228006655,-12.951625654533434,0.028903187046160763,0.04020073228046475,39.087541508381086,2.2490691551705946,0.05,0.017343915343915346,-0.03265608465608466,3.899246156675367,5.768210553077093,0.2780055589848114,0.17460611343194624,-0.5662349374816419,0.43770993382414297,0.504690900784774,-0.9915912553581019,benefit
circle,0.4,56,50,1.7532701325219735,1.5535143542996104,0.19975577822236312,1.2476188613683126,1.3652394609591965,9.42760671811185,0.032858782622413214,0.04506927298707088,37.16050744971055,3.0982767817028316,0.05,0.02733862433862434,-0.022661375661375664,4.5912658539844085,4.681946285507798,0.2394446765199631,0.16996166468050042,-0.43233232044082237,0.4039730675974908,0.5034266552354635,-0.9912414323211043,benefit
circle,0.4,68,50,3.0660624071802776,1.6299918303321597,1.436070576848118,2.819629633956253,1.3786974830162841,-51.103596500284695,0.05842746194039522,0.04569349017416125,-21.794497558368334,5.14846763912055,0.05,0.0,-0.05,3.083430412749583,0.0,0.0946628965128812,0.05091221085426957,-0.4837450327384543,0.48472821784340253,0.6140250541543335,-0.9891561726421344,benefit
square,0.2,0,50,0.2626752973027709,0.12036569326220314,0.14230960404056775,0.14468546771291949,0.09943768206129483,-31.273206885636366,0.012129395642349524,0.013910076009584724,14.680701492423795,0.453891115307014,0.05,0.0054603174603174605,-0.044539682539682546,3.7637125520249315,15.87595593754056,-0.5909059652090349,-0.2768351163922648,0.09302750538076429,0.029876634018371102,0.03399891362662711,-0.9984907892937693,benefit
square,0.2,8,50,0.5213277728827862,0.33972203045207605,0.18160574243071015,0.5104130297403375,0.18280603254100408,-64.18468536458703,0.02299580521083008,0.014298507685886926,-37.821234981016765,1.0444626369959598,0.05,0.0,-0.05,5.231904776250027,0.0,0.9673372586555855,0.8734175515339679,0.24788721584130877,0.0297926472807007,0.03173998008109084,-0.9974154815298519,benefit
square,0.2,18,50,0.8372505568989991,0.6773140213372971,0.15993653556170195,0.7806976298755951,0.6739608171322479,-13.671978581543682,0.03679989176346069,0.032044418098679334,-12.922520792232147,1.6014303035554558,0.05,0.03193650793650794,-0.018063492063492066,4.807321021373122,6.217352809913177,0.9939733321194563,0.970354852971858,-0.0024211677551117593,0.04972598750035981,0.055555593492284956,-0.9963661251533515,benefit
square,0.2,26,50,1.1550700823930873,1.0883361346766511,0.06673394771643615,1.1375210996104108,1.0539602284541885,-7.345874391672173,0.04950556511037971,0.0504652054648671,1.93844944973026,1.7768879105938489,0.05,0.02252910052910053,-0.027470899470899472,2.8708700687573803,3.332672196532196,0.9959675293620236,0.9822988698397499,-0.3145594350358232,0.09172783071220052,0.10683290959652884,-0.9918445179012749,benefit
square,0.2,34,50,1.4703227951886537,1.3553353615980104,0.11498743359064334,1.401733959544223,1.318567721118812,-5.9330972085739715,0.04906596081100755,0.053011003929817925,8.040285064273993,2.2581638674024007,0.05,0.04573015873015873,-0.004269841269841271,3.047828892201654,3.480530204537797,0.9803803991941509,0.9456145803283584,-0.07761631121908126,0.0717293244593607,0.09398235037794683,-0.9919792935337388,benefit
square,0.2,44,50,1.8523359957812233,1.7123383669983576,0.1399976287828657,1.77309087873007,1.6379945598930743,-7.619255192022576,0.05416619086804958,0.053193590915181825,-1.7955849160947657,2.7307244399666475,0.05,0.02873015873015873,-0.021269841269841272,2.5527806674307048,3.002126392701791,0.9865538083163145,0.9658351756126623,-0.4572541964734064,0.05906548490380282,0.07064393578546825,-0.9945733898086503,benefit
