base_condition_id,paired_id,q_dirs,traj,tr,delay,rep,rmse_t3,rmse_honest,rmse_gap_t3_minus_honest
sscrn_square_tr0.25_d12_rep7,sscrn_square_tr0.25_d12_rep7_q8,8,square,0.25,12,7,0.38658834946431614,0.6963872210702317,-0.3097988716059155
sscrn_square_tr0.25_d12_rep7,sscrn_square_tr0.25_d12_rep7_q16,16,square,0.25,12,7,0.35183960909532136,0.5039970720252482,-0.15215746292992688
sscrn_square_tr0.25_d34_rep0,sscrn_square_tr0.25_d34_rep0_q4,4,square,0.25,34,0,1.5375179856282248,1.7194349558181066,-0.18191697018988173
sscrn_square_tr0.25_d34_rep0,sscrn_square_tr0.25_d34_rep0_q8,8,square,0.25,34,0,1.2749447447859763,1.4912398099494248,-0.21629506516344854
sscrn_square_tr0.25_d34_rep0,sscrn_square_tr0.25_d34_rep0_q16,16,square,0.25,34,0,1.3004157054824284,1.429697569586352,-0.12928186410392373
sscrn_square_tr0.25_d34_rep1,sscrn_square_tr0.25_d34_rep1_q4,4,square,0.25,34,1,1.503898154287202,1.7481330311719965,-0.2442348768847944
sscrn_square_tr0.25_d34_rep1,sscrn_square_tr0.25_d34_rep1_q8,8,square,0.25,34,1,1.2155909549501924,1.4685256482959161,-0.2529346933457237
sscrn_square_tr0.25_d34_rep1,sscrn_square_tr0.25_d34_rep1_q16,16,square,0.25,34,1,1.2753971434189404,1.426701590693884,-0.15130444727494363
sscrn_square_tr0.25_d34_rep2,sscrn_square_tr0.25_d34_rep2_q4,4,square,0.25,34,2,1.5046359480893159,1.706523050240981,-0.20188710215166505
sscrn_square_tr0.25_d34_rep2,sscrn_square_tr0.25_d34_rep2_q8,8,square,0.25,34,2,1.2962492968942951,1.44944785420599,-0.15319855731169496
sscrn_square_tr0.25_d34_rep2,sscrn_square_tr0.25_d34_rep2_q16,16,square,0.25,34,2,1.2689261932132085,1.4432748299748621,-0.17434863676165357
sscrn_square_tr0.25_d34_rep3,sscrn_square_tr0.25_d34_rep3_q4,4,square,0.25,34,3,1.4560363730301733,1.6879085058517929,-0.23187213282161956
sscrn_square_tr0.25_d34_rep3,sscrn_square_tr0.25_d34_rep3_q8,8,square,0.25,34,3,1.2808077631304295,1.434101363479023,-0.1532936003485934
sscrn_square_tr0.25_d34_rep3,sscrn_square_tr0.25_d34_rep3_q16,16,square,0.25,34,3,1.2958589116480097,1.469556221006786,-0.17369730935877636
sscrn_square_tr0.25_d34_rep4,sscrn_square_tr0.25_d34_rep4_q4,4,square,0.25,34,4,1.5230585390220084,1.7312110169811592,-0.20815247795915082
sscrn_square_tr0.25_d34_rep4,sscrn_square_tr0.25_d34_rep4_q8,8,square,0.25,34,4,1.2829193807364274,1.4763229752227576,-0.19340359448633015
sscrn_square_tr0.25_d34_rep4,sscrn_square_tr0.25_d34_rep4_q16,16,square,0.25,34,4,1.277389005430745,1.413119924464639,-0.135730919033894
sscrn_square_tr0.25_d34_rep5,sscrn_square_tr0.25_d34_rep5_q4,4,square,0.25,34,5,1.5368522887910117,1.6992905825717073,-0.16243829378069563
sscrn_square_tr0.25_d34_rep5,sscrn_square_tr0.25_d34_rep5_q8,8,square,0.25,34,5,1.2787151505807055,1.458755564758735,-0.1800404141780294
sscrn_square_tr0.25_d34_rep5,sscrn_square_tr0.25_d34_rep5_q16,16,square,0.25,34,5,1.332473436684905,1.42597926223773,-0.09350582555282516
sscrn_square_tr0.25_d34_rep6,sscrn_square_tr0.25_d34_rep6_q4,4,square,0.25,34,6,1.5204344385398376,1.7197893769452486,-0.19935493840541096
sscrn_square_tr0.25_d34_rep6,sscrn_square_tr0.25_d34_rep6_q8,8,square,0.25,34,6,1.2847031173369672,1.4513049704921959,-0.16660185315522869
sscrn_square_tr0.25_d34_rep6,sscrn_square_tr0.25_d34_rep6_q16,16,square,0.25,34,6,1.3126891542682055,1.4266545577207557,-0.11396540345255013
sscrn_square_tr0.25_d34_rep7,sscrn_square_tr0.25_d34_rep7_q4,4,square,0.25,34,7,1.5146228978175944,1.6815104832715198,-0.16688758545392535
sscrn_square_tr0.25_d34_rep7,sscrn_square_tr0.25_d34_rep7_q8,8,square,0.25,34,7,1.2812191797491734,1.4437055819455433,-0.1624864021963699
sscrn_square_tr0.25_d34_rep7,sscrn_square_tr0.25_d34_rep7_q16,16,square,0.25,34,7,1.26469270909363,1.4326064410609318,-0.16791373196730186
sscrn_square_tr0.35_d12_rep0,sscrn_square_tr0.35_d12_rep0_q4,4,square,0.35,12,0,0.20195767527320554,0.885459371722434,-0.6835016964492285
sscrn_square_tr0.35_d12_rep0,sscrn_square_tr0.35_d12_rep0_q8,8,square,0.35,12,0,0.4486669470990184,0.7091988266111444,-0.26053187951212603
sscrn_square_tr0.35_d12_rep0,sscrn_square_tr0.35_d12_rep0_q16,16,square,0.35,12,0,0.21979031111092687,0.5330991603424361,-0.31330884923150926
sscrn_square_tr0.35_d12_rep1,sscrn_square_tr0.35_d12_rep1_q4,4,square,0.35,12,1,0.18354077977839758,0.8825611874084942,-0.6990204076300967
sscrn_square_tr0.35_d12_rep1,sscrn_square_tr0.35_d12_rep1_q8,8,square,0.35,12,1,0.419211347612465,0.6783326081880593,-0.2591212605755943
sscrn_square_tr0.35_d12_rep1,sscrn_square_tr0.35_d12_rep1_q16,16,square,0.35,12,1,0.2577793168626431,0.49797607891363804,-0.24019676205099494
sscrn_square_tr0.35_d12_rep2,sscrn_square_tr0.35_d12_rep2_q4,4,square,0.35,12,2,0.18987423053480765,0.8810222537127452,-0.6911480231779376
sscrn_square_tr0.35_d12_rep2,sscrn_square_tr0.35_d12_rep2_q8,8,square,0.35,12,2,0.46744575130066507,0.675337788491609,-0.2078920371909439
sscrn_square_tr0.35_d12_rep2,sscrn_square_tr0.35_d12_rep2_q16,16,square,0.35,12,2,0.23404431840047574,0.5479805919722822,-0.3139362735718065
sscrn_square_tr0.35_d12_rep3,sscrn_square_tr0.35_d12_rep3_q4,4,square,0.35,12,3,0.17525428797611867,0.8580203923893747,-0.682766104413256
sscrn_square_tr0.35_d12_rep3,sscrn_square_tr0.35_d12_rep3_q8,8,square,0.35,12,3,0.4018805807009952,0.6892441323770926,-0.2873635516760974
sscrn_square_tr0.35_d12_rep3,sscrn_square_tr0.35_d12_rep3_q16,16,square,0.35,12,3,0.2666756859697151,0.5211724593724482,-0.2544967734027331
sscrn_square_tr0.35_d12_rep4,sscrn_square_tr0.35_d12_rep4_q4,4,square,0.35,12,4,0.1885114874963515,0.8814177626253143,-0.6929062751289629
sscrn_square_tr0.35_d12_rep4,sscrn_square_tr0.35_d12_rep4_q8,8,square,0.35,12,4,0.3843253203680243,0.6977497249335826,-0.31342440456555826
sscrn_square_tr0.35_d12_rep4,sscrn_square_tr0.35_d12_rep4_q16,16,square,0.35,12,4,0.2400100105087177,0.5200334249929129,-0.2800234144841952
sscrn_square_tr0.35_d12_rep5,sscrn_square_tr0.35_d12_rep5_q4,4,square,0.35,12,5,0.2049748245809332,0.8762912204841594,-0.6713163959032262
sscrn_square_tr0.35_d12_rep5,sscrn_square_tr0.35_d12_rep5_q8,8,square,0.35,12,5,0.4589639456989906,0.6922459424390084,-0.23328199674001776
sscrn_square_tr0.35_d12_rep5,sscrn_square_tr0.35_d12_rep5_q16,16,square,0.35,12,5,0.22930834198701497,0.5127459725693387,-0.28343763058232374
sscrn_square_tr0.35_d12_rep6,sscrn_square_tr0.35_d12_rep6_q4,4,square,0.35,12,6,0.20082854609348083,0.910722744612848,-0.7098941985193672
