q_dirs,traj,tr,delay,rep,paired_id,base_condition_id,vote_bin_switch_rate,vote_switch_chord2_mean,agg_cell_switch_rate,agg_cell_jump_chord2_mean,path_event_rate,endpoint_wrap_rate,branch_event_rate,vote_path_coincident_rate,positive_err2_increment_t3,counterfactual_event_cost_sscrn,positive_counterfactual_event_cost_sscrn,rmse_t3,rmse_honest,rmse_gap_t3_minus_honest
4,lemniscate,0.25,34,1,sscrn_lemniscate_tr0.25_d34_rep1_q4,sscrn_lemniscate_tr0.25_d34_rep1,0.2614,0.6272,0.26,0.64,0.16,0.0,0.16,0.11,0.8256467022367466,-5.085045745073457e-05,1.0148560302191703,1.4789553888659548,1.6558117883233703,-0.1768563994574155
4,lemniscate,0.25,34,2,sscrn_lemniscate_tr0.25_d34_rep2_q4,sscrn_lemniscate_tr0.25_d34_rep2,0.2132,0.4276,0.2,0.4,0.21,0.0,0.21,0.13,0.9564574520760634,0.01740408045379271,1.0450758467484642,1.5699067939108362,1.5965401759295772,-0.026633382018740992
4,lemniscate,0.25,34,3,sscrn_lemniscate_tr0.25_d34_rep3_q4,sscrn_lemniscate_tr0.25_d34_rep3,0.2452,0.5524,0.25,0.58,0.14,0.0,0.14,0.08,0.9028303611882013,0.027353734634048974,1.049685586853251,1.558879868264584,1.6376278054049345,-0.07874793714035055
4,lemniscate,0.25,34,4,sscrn_lemniscate_tr0.25_d34_rep4_q4,sscrn_lemniscate_tr0.25_d34_rep4,0.2868,0.652,0.3,0.68,0.13,0.0,0.13,0.11,0.8462633455896553,-0.04802491536697321,1.0004641917560781,1.4528327926164657,1.7070947774373453,-0.2542619848208796
4,lemniscate,0.25,34,5,sscrn_lemniscate_tr0.25_d34_rep5_q4,sscrn_lemniscate_tr0.25_d34_rep5,0.2328,0.516,0.22,0.5,0.07,0.0,0.07,0.03,0.9627908733096123,0.05519776277599731,1.2782100121629079,1.6304306167365175,1.6321011390177425,-0.0016705222812249954
4,lemniscate,0.25,34,6,sscrn_lemniscate_tr0.25_d34_rep6_q4,sscrn_lemniscate_tr0.25_d34_rep6,0.3158,0.7928000000000001,0.32,0.82,0.13,0.0,0.13,0.12,0.7751193445768579,-0.015948517771129996,0.7360934210298798,1.418804095791957,1.6638586883251048,-0.24505459253314776
4,lemniscate,0.25,34,7,sscrn_lemniscate_tr0.25_d34_rep7_q4,sscrn_lemniscate_tr0.25_d34_rep7,0.24,0.4808,0.25,0.5,0.16,0.0,0.16,0.1,0.915602094661466,-0.010617041620808893,1.182193214218058,1.5856836446356406,1.693665571262154,-0.1079819266265134
4,lemniscate,0.35,12,0,sscrn_lemniscate_tr0.35_d12_rep0_q4,sscrn_lemniscate_tr0.35_d12_rep0,0.3186,0.81,0.33,0.86,0.31,0.0,0.31,0.29,0.3201387983846024,0.007625495600236377,0.42819905706418454,0.7578658821533472,0.82237305680775,-0.06450717465440281
4,lemniscate,0.35,12,1,sscrn_lemniscate_tr0.35_d12_rep1_q4,sscrn_lemniscate_tr0.35_d12_rep1,0.636,2.2916,0.69,2.54,0.52,0.0,0.52,0.51,0.27305283728996127,0.006078844446805024,0.4691673985473589,1.1747451810680176,0.8207520707859004,0.3539931102821172
4,lemniscate,0.35,12,2,sscrn_lemniscate_tr0.35_d12_rep2_q4,sscrn_lemniscate_tr0.35_d12_rep2,0.4346,1.266,0.46,1.38,0.24,0.0,0.24,0.23,0.3491860899715986,0.007622000105241979,0.44633419758664367,0.8238514349511716,0.820009767805223,0.0038416671459485796
4,lemniscate,0.35,12,3,sscrn_lemniscate_tr0.35_d12_rep3_q4,sscrn_lemniscate_tr0.35_d12_rep3,0.738,2.7692,0.8,3.06,0.44,0.0,0.44,0.43,0.4000277601717802,0.0019561957477868814,0.4196855731523562,1.256835618232608,0.8245171634124835,0.43231845482012443
4,lemniscate,0.35,12,4,sscrn_lemniscate_tr0.35_d12_rep4_q4,sscrn_lemniscate_tr0.35_d12_rep4,0.307,0.7668,0.32,0.82,0.28,0.0,0.28,0.25,0.35223663193365606,0.004034441426491312,0.4190446484380638,0.7439238468127302,0.8201409409292778,-0.07621709411654765
4,lemniscate,0.35,12,5,sscrn_lemniscate_tr0.35_d12_rep5_q4,sscrn_lemniscate_tr0.35_d12_rep5,0.7368000000000001,2.7668,0.8,3.06,0.44,0.0,0.44,0.43,0.4253485647189629,0.008900689312963228,0.40806043848885915,1.2426568947223668,0.8199849893784574,0.4226719053439094
4,lemniscate,0.35,12,6,sscrn_lemniscate_tr0.35_d12_rep6_q4,sscrn_lemniscate_tr0.35_d12_rep6,0.2522,0.5075999999999999,0.25,0.5,0.24,0.0,0.24,0.22,0.3036661010222542,-0.006988529377181094,0.3665916565056305,0.6331216597728804,0.8230886641519988,-0.1899670043791184
4,lemniscate,0.35,12,7,sscrn_lemniscate_tr0.35_d12_rep7_q4,sscrn_lemniscate_tr0.35_d12_rep7,0.525,1.776,0.56,1.94,0.36,0.0,0.36,0.34,0.408106008767866,0.01204525572174306,0.40652551711912327,1.0466660358927975,0.820458963673573,0.22620707221922454
4,lemniscate,0.35,34,0,sscrn_lemniscate_tr0.35_d34_rep0_q4,sscrn_lemniscate_tr0.35_d34_rep0,0.2364,0.5704,0.24,0.6,0.22,0.0,0.22,0.13,0.8117296962592074,-0.02178298214242777,0.8408177889668229,1.4728824985507025,1.680077928946539,-0.20719543039583654
4,lemniscate,0.35,34,1,sscrn_lemniscate_tr0.35_d34_rep1_q4,sscrn_lemniscate_tr0.35_d34_rep1,0.39640000000000003,1.2207999999999999,0.38,1.26,0.31,0.0,0.31,0.28,0.6665199379088808,-0.05012316611897398,0.9444822855510722,1.3228982128469906,1.6702688328437727,-0.3473706199967821
4,lemniscate,0.35,34,2,sscrn_lemniscate_tr0.35_d34_rep2_q4,sscrn_lemniscate_tr0.35_d34_rep2,0.2382,0.5751999999999999,0.24,0.6,0.1,0.0,0.1,0.07,0.9124141696163415,0.014310958461309453,1.154480345686171,1.5690070250711021,1.620114738310524,-0.05110771323942198
4,lemniscate,0.35,34,3,sscrn_lemniscate_tr0.35_d34_rep3_q4,sscrn_lemniscate_tr0.35_d34_rep3,0.26039999999999996,0.6552,0.27,0.7,0.21,0.0,0.21,0.12,0.8964792011724967,-0.046380878535365475,1.3605663735955609,1.4915675728143396,1.7029337799341344,-0.2113662071197948
4,lemniscate,0.35,34,4,sscrn_lemniscate_tr0.35_d34_rep4_q4,sscrn_lemniscate_tr0.35_d34_rep4,0.2484,0.5808,0.25,0.6,0.17,0.0,0.17,0.13,0.771523343295417,-0.05294710110690659,1.3267784560248979,1.337839369697426,1.699617405985798,-0.361778036288372
4,lemniscate,0.35,34,5,sscrn_lemniscate_tr0.35_d34_rep5_q4,sscrn_lemniscate_tr0.35_d34_rep5,0.27399999999999997,0.7031999999999999,0.27,0.72,0.13,0.0,0.13,0.08,0.655232833733924,-0.00928606880004004,0.9003298019783523,1.29693444948243,1.7097653679309135,-0.4128309184484835
4,lemniscate,0.35,34,6,sscrn_lemniscate_tr0.35_d34_rep6_q4,sscrn_lemniscate_tr0.35_d34_rep6,0.2382,0.5711999999999999,0.24,0.6,0.22,0.0,0.22,0.14,0.8591984790722479,-0.03145303882876418,1.106469385721707,1.4740145581754966,1.6301445010767854,-0.1561299429012888
4,lemniscate,0.35,34,7,sscrn_lemniscate_tr0.35_d34_rep7_q4,sscrn_lemniscate_tr0.35_d34_rep7,0.2528,0.6232,0.26,0.66,0.18,0.0,0.18,0.1,0.7925457023987009,-0.010283929089498461,1.1438272914833396,1.3927162528796573,1.6996927887068607,-0.3069765358272034
4,square,0.25,12,0,sscrn_square_tr0.25_d12_rep0_q4,sscrn_square_tr0.25_d12_rep0,0.0704,0.1408,0.07,0.14,0.07,0.0,0.0,0.07,0.011078053706089467,-0.0003685547283037424,0.04590391259240625,0.34205991588073836,0.8983009423365095,-0.5562410264557711
4,square,0.25,12,1,sscrn_square_tr0.25_d12_rep1_q4,sscrn_square_tr0.25_d12_rep1,0.07,0.14,0.07,0.14,0.07,0.0,0.0,0.07,0.011208442282461687,0.0012258564281787357,0.050201797634352535,0.36295173625686333,0.9250963644230783,-0.562144628166215
4,square,0.25,12,2,sscrn_square_tr0.25_d12_rep2_q4,sscrn_square_tr0.25_d12_rep2,0.07,0.14,0.07,0.14,0.07,0.0,0.0,0.07,0.011303846773276784,-0.0026844780429334052,0.010724624417996799,0.3462032347657812,0.6170228346459462,-0.270819599880165
4,square,0.25,12,3,sscrn_square_tr0.25_d12_rep3_q4,sscrn_square_tr0.25_d12_rep3,0.07,0.14,0.07,0.14,0.07,0.0,0.0,0.07,0.011225271228017917,-0.0007861200380256137,0.045432311093704617,0.35384668176708134,0.8874531276394774,-0.533606445872396
4,square,0.25,12,4,sscrn_square_tr0.25_d12_rep4_q4,sscrn_square_tr0.25_d12_rep4,0.07,0.14,0.07,0.14,0.07,0.0,0.0,0.07,0.010979338796459815,-0.002792618286374387,0.01712490755243439,0.35591391857127014,0.6461571390173545,-0.29024322044608436
4,square,0.25,12,5,sscrn_square_tr0.25_d12_rep5_q4,sscrn_square_tr0.25_d12_rep5,0.0704,0.1408,0.07,0.14,0.07,0.0,0.0,0.07,0.01067987197038977,-0.0019806533949361226,0.012191610232840837,0.33178514744272697,0.60650723796616,-0.27472209052343305
4,square,0.25,12,6,sscrn_square_tr0.25_d12_rep6_q4,sscrn_square_tr0.25_d12_rep6,0.07,0.14,0.07,0.14,0.07,0.0,0.0,0.07,0.011892625354185069,-0.0004796987489206615,0.046526615267832236,0.36489493317159083,0.926949355733356,-0.5620544225617652
4,square,0.25,12,7,sscrn_square_tr0.25_d12_rep7_q4,sscrn_square_tr0.25_d12_rep7,0.0704,0.1408,0.07,0.14,0.07,0.0,0.0,0.07,0.01048840948471836,-0.003965057822427604,0.015067849159993305,0.35430483142582536,0.6502866952869084,-0.29598186386108305
4,square,0.25,34,0,sscrn_square_tr0.25_d34_rep0_q4,sscrn_square_tr0.25_d34_rep0,0.1588,0.3176,0.15,0.3,0.03,0.0,0.0,0.02,0.5456362994394207,-0.0372251137223652,0.7693027119415697,1.5375179856282248,1.7194349558181066,-0.18191697018988173
4,square,0.25,34,1,sscrn_square_tr0.25_d34_rep1_q4,sscrn_square_tr0.25_d34_rep1,0.15960000000000002,0.3192,0.15,0.3,0.03,0.0,0.0,0.02,0.537086031612027,-0.019905689564237935,1.0433324265138295,1.503898154287202,1.7481330311719965,-0.2442348768847944
4,square,0.25,34,2,sscrn_square_tr0.25_d34_rep2_q4,sscrn_square_tr0.25_d34_rep2,0.1592,0.3184,0.15,0.3,0.03,0.0,0.0,0.01,0.5337338313079817,-0.010890346373846841,0.979721608476127,1.5046359480893159,1.706523050240981,-0.20188710215166505
4,square,0.25,34,3,sscrn_square_tr0.25_d34_rep3_q4,sscrn_square_tr0.25_d34_rep3,0.1888,0.37839999999999996,0.2,0.4,0.06,0.0,0.0,0.05,0.541767466696636,0.028131222715495854,0.9067086191513444,1.4560363730301733,1.6879085058517929,-0.23187213282161956
4,square,0.25,34,4,sscrn_square_tr0.25_d34_rep4_q4,sscrn_square_tr0.25_d34_rep4,0.1586,0.3176,0.15,0.3,0.03,0.0,0.0,0.01,0.5413021928303183,-0.014567033760787837,0.912796962609777,1.5230585390220084,1.7312110169811592,-0.20815247795915082
4,square,0.25,34,5,sscrn_square_tr0.25_d34_rep5_q4,sscrn_square_tr0.25_d34_rep5,0.1598,0.32,0.15,0.3,0.03,0.0,0.0,0.02,0.5491747977103575,0.008694647200317067,0.9229418201478392,1.5368522887910117,1.6992905825717073,-0.16243829378069563
4,square,0.25,34,6,sscrn_square_tr0.25_d34_rep6_q4,sscrn_square_tr0.25_d34_rep6,0.1642,0.32839999999999997,0.15,0.3,0.03,0.0,0.0,0.02,0.5409842661375713,0.004470287838178656,0.9230109877659844,1.5204344385398376,1.7197893769452486,-0.19935493840541096
4,square,0.25,34,7,sscrn_square_tr0.25_d34_rep7_q4,sscrn_square_tr0.25_d34_rep7,0.16140000000000002,0.3236,0.15,0.3,0.03,0.0,0.0,0.02,0.540662650110959,0.006320799047393926,0.8842069438696574,1.5146228978175944,1.6815104832715198,-0.16688758545392535
4,square,0.35,12,0,sscrn_square_tr0.35_d12_rep0_q4,sscrn_square_tr0.35_d12_rep0,0.07,0.14,0.07,0.14,0.07,0.0,0.0,0.07,0.014414250089262684,-0.0009388304803052996,0.04805746047399817,0.20195767527320554,0.885459371722434,-0.6835016964492285
4,square,0.35,12,1,sscrn_square_tr0.35_d12_rep1_q4,sscrn_square_tr0.35_d12_rep1,0.07,0.14,0.07,0.14,0.07,0.0,0.0,0.07,0.014157457838379177,-0.0010515355333453255,0.04790662873887661,0.18354077977839758,0.8825611874084942,-0.6990204076300967
4,square,0.35,12,2,sscrn_square_tr0.35_d12_rep2_q4,sscrn_square_tr0.35_d12_rep2,0.07,0.14,0.07,0.14,0.07,0.0,0.0,0.07,0.014434382900093657,-0.001149436877047798,0.04930246327634084,0.18987423053480765,0.8810222537127452,-0.6911480231779376
4,square,0.35,12,3,sscrn_square_tr0.35_d12_rep3_q4,sscrn_square_tr0.35_d12_rep3,0.07,0.14,0.07,0.14,0.07,0.0,0.0,0.07,0.013600977277865675,-0.00527475550166988,0.04463761819254194,0.17525428797611867,0.8580203923893747,-0.682766104413256
4,square,0.35,12,4,sscrn_square_tr0.35_d12_rep4_q4,sscrn_square_tr0.35_d12_rep4,0.07,0.14,0.07,0.14,0.07,0.0,0.0,0.07,0.014158942543208732,-0.0008025785945381061,0.04781828058742783,0.1885114874963515,0.8814177626253143,-0.6929062751289629
4,square,0.35,12,5,sscrn_square_tr0.35_d12_rep5_q4,sscrn_square_tr0.35_d12_rep5,0.07,0.14,0.07,0.14,0.07,0.0,0.0,0.07,0.014606312027139932,-0.0013251426689740039,0.047964212506220016,0.2049748245809332,0.8762912204841594,-0.6713163959032262
4,square,0.35,12,6,sscrn_square_tr0.35_d12_rep6_q4,sscrn_square_tr0.35_d12_rep6,0.07,0.14,0.07,0.14,0.07,0.0,0.0,0.07,0.014679045978572175,-0.0003163022406308095,0.04910566117325623,0.20082854609348083,0.910722744612848,-0.7098941985193672
